title,category,author,pubdate,guid,link,description,content
Food insecure students weather SNAP disruptions following government shutdown ,"University, News, FLISSC, Food, food accessibility, Food Insecurity, food stamps, funding cuts, SNAP, Stanford",,"Mon, 17 Nov 2025 08:54:20 +0000",https://stanforddaily.com/?p=1280001,,Campus and community resources are providing food assistance for students as SNAP funding is restored. The post Food insecure students weather SNAP disruptions following government shutdown appeared first on The Stanford Daily .,"Carla Galaise ’27 has been food insecure her entire life. In her words, it’s been “exhausting.” Before moving to Stanford, Galaise attended community college as a single mother, relying on food stamps and her school’s food pantry to support herself and her son, now 11 years old. “I came to class so foggy-headed. When you don’t have those basic needs met, nothing else really matters,” Galaise said. “Even if you have food in the moment, if you don’t know where it’s going to be tomorrow, it messes with [you].” Nearly one in eight Americans receive food stamps from the Supplemental Nutrition Assistance Program (SNAP). Recipients, such as Galaise, faced food stamp delays during the longest U.S. government shutdown in history, which lasted 43 days and ended Wednesday night. California used state money to fund its SNAP program, CalFresh, during the shutdown. “Benefits were delayed due to the Trump administration’s decision to oppose the issuance of full benefits during the shutdown,” the California Department of Social Services (CDSS) website states . Mona Hicks, the senior associate vice provost and dean of students, wrote to The Daily that the Dean of Students Office (DoS) does not have aggregate data on how SNAP cuts impacted Stanford students. “DoS is aware of individual students who rely on those funds. As a result, we are continuing to work in close collaboration with our campus partners, particularly FLISSC [First-Generation and/or Low-Income Student Success Center],” Hicks said. Now that the shutdown is over, benefits will continue as usual. For people who recently applied to CalFresh, the CDSS website states benefits may be delayed but will be provided soon. Worried about her food stamps during the shutdown, Galaise said she switched out of “thriving” and back to “surviving,” saving money and food stamps in case of total SNAP cuts. “The only reason I knew to do that is because I’ve experienced losing my food stamps, and it sparks all of those survival skills,” she said. About a week into November, despite warnings from SNAP about cuts, she received all of her food stamps. “I was so relieved. At Stanford, it’s all about, how can you thrive? If you’re still surviving, then you feel like you’re left behind,” she said. While her role as a food security advocate has helped Galaise feel more comfortable sharing her story, she said that food insecurity is “absolutely stigmatized” at Stanford. “Food insecurity here looks extremely different than it does at community college, but it’s still happening,” she said. “I think that’s important to talk about because this is the one place you think it wouldn’t be happening.” When she arrived at Stanford, she felt “such embarrassment” about food insecurity. “People just don’t want to talk about it. I was like, ‘I can’t go to the dean’s office and ask them for food. I’m the only one experiencing that,’” Galaise said. Now, Galise works as a student office assistant and basic needs intern at DoS, providing in-person administrative and office support. Since the beginning of the shutdown, DoS has heard directly from students on SNAP or CalFresh benefits who have been struggling, Hicks said. Along with developing a basic needs webpage of resources, DoS opened Thrive Market food pantry on Nov. 3. The market, which DoS is building out with shelf-stable foods, is located on the second floor of Tresidder Memorial Union. The disruption to SNAP funding prompted a “rush to get food on the shelves” so students could find resources on campus during the uncertainty of the shutdown. Other resources available to students like Galaise include Stanford Residential and Dining Enterprises (R&DE), which hosts monthly food pantry pop-ups where eligible students can receive produce, dairy, eggs and non-perishable items at no cost. Additionally, Territorial Markets is offering a SNAP Special Program to provide free groceries to those impacted by SNAP cuts. Several off-campus clubs are also helping provide food resources. From Nov. 17-21, two Palo Alto Rotary Clubs and a Kiwanis Club are holding a food drive for the Downtown Streets Team Food Closet at All Saints Episcopal Church Palo Alto. Richard Schoelerman, a member of the Rotary Club, said his club has been helping the food closet for almost two years. In light of possible SNAP delays, this week’s food drive will support people who need extra food assistance at this time. “Working with the other two service clubs, we decided that all three of us could do a better job of raising more food donations,” Schoelerman said. “It just so happens that it came at this time where the government shutdown came along.” The post Food insecure students weather SNAP disruptions following government shutdown appeared first on The Stanford Daily ."
Dining hall dinner specials now served regularly,"News, Campus Life, chef, Dining, dining halls, dinner, eating, Food, lunch, meals, R&DE, specials, Stanford, Stanford Dining",,"Mon, 17 Nov 2025 08:54:20 +0000",https://stanforddaily.com/?p=1280001,,The chef’s dinner special in each dining hall is now available from Monday through Friday each week and posted in advance. The post Dining hall dinner specials now served regularly appeared first on The Stanford Daily .,"Residential and Dining Enterprises (R&DE) has begun serving weekly chef’s dinner specials in each dining hall since Oct. 20. R&DE now also announces the specials in advance. The same special is served at dinner from Monday through Friday as one part of that meal’s menu and students are able to see each dining hall’s special via dining hall signage and Instagram posts on @stanforddining. Last year, dinner specials were not announced in advance and were only available while supplies lasted — typically for just one day. According to Eric Montell, the assistant vice provost for Stanford Dining, Hospitality and Auxiliaries, in an email to The Daily, the specials “operated like the classic chef’s special at a restaurant, a pleasant surprise you discovered when you went out to eat, with the wait staff announcing the chef’s special of the day when taking your order.” R&DE decided to pivot due to student feedback, Montell said. “Some students told us they’d prefer to know the chef special ahead of time so they could plan their dining around classes and other commitments,” Montell wrote. “Students also mentioned occasionally missing out on specials they wanted to try due to the one-day availability.” Though many students have not yet heard about the change, several liked the stability the new initiatives provide in comparison to the unpredictable nature of non-special food items. “A lot of times the website will be inaccurate, or sometimes there’ll be food items that they’ll talk about on the website, but then when you actually go in person to the dining hall, it’s something that’s pretty different,” said Siddharth Bellam ’29. Vivian Sullon Vicente ’29 agreed. “It should be really good to have a menu to see and realize where we want to go to eat,” she said. However, some students said they didn’t have the capacity to go to specific dining halls based on dinner specials. “Personally, when things are getting busy, I don’t really plan out ‘I want to eat this, therefore, I’ll go to XYZ dining hall,’” said Faith Qin ’29. “Instead I’m just like, what’s near me right now and what’s gonna close?” With less dining halls near their dorms, some students living on west campus felt they didn’t have easy access to as many of the specials as east campus students. “It can become repetitive, especially for me cause I eat dinner and breakfast at the same place pretty much everyday,” said Charlotte Burnham ’26. “It’s not the best when you don’t like the special either and get stuck with it. Sometimes consistency is nice, but I find people usually have a few dining halls they usually eat at, so it can definitely get old quick.” Ben Jonker ’28 appreciated the change but wished the dishes themselves were more unique. “It’s nice that they are making efforts to try and alleviate some of the problems of us eating the same three meals every day for the entire quarter, so in that extent I like it,” he said. “I think one of the problems with the way they’re doing specials right now is it’s a lot of the same stuff they would normally serve but just every day for the week. I don’t think I would ever go out of my way to go to a dining hall just because of the special.” R&DE offers many ways for diners to provide feedback. Soon, students will be invited to vote on future chef specials so “the menu further reflects what students are most excited to see,” according to Montell. For now, students can share their suggestions directly with the chefs in the dining halls — including at their weekly open office hours from 5 p.m. to 6 p.m. on Tuesdays — and complete the Dining Customer Satisfaction Survey sent directly to student emails, which will be open until Nov. 21. “We are grateful for the student feedback that is helping us make the dining program an even more welcoming and exciting part of campus life,” Montell wrote. “If there’s a dish students want, a cuisine they love or a dietary need we can support, please let your chef know, as we are here for students, and they are never an interruption in our day.” The post Dining hall dinner specials now served regularly appeared first on The Stanford Daily ."
Torrential rains batter Stanford on path through California,"Campus Life, News, biking in the rain, drought, raining, Stanford, storm, weather",,"Mon, 17 Nov 2025 08:54:20 +0000",https://stanforddaily.com/?p=1280001,,An atmospheric river storm moving through California hit Stanford for a second time Sunday night. The post Torrential rains batter Stanford on path through California appeared first on The Stanford Daily .,"After a short weekend reprieve following Thursday’s downpour, Stanford will see half an inch of rain between 11 p.m. Sunday night and 2 p.m. Monday afternoon. On Thursday, Stanford, unable to escape an atmospheric river storm that brought strong winds and heavy rain to the Bay area and the Santa Cruz mountain, received 1.37 inches of rain. “It’s tough biking to class, for sure, especially when you forget your raincoat… you get soaked on the way,” said Griffin Jason Lee ’27. Lee, who is from Georgia, said the rain at Stanford is colder than storms he experienced at home. However, he looks forward to Lake Lagunita filling with water as the rainy season progresses. This weekend, the storm system moved south, settling in southern California and giving Bay Area residents a short break from torrential downpours before the storm returned late Sunday evening. Benjamin Vu ’28 said that the weather has been “pretty sad”. “I really like being out on a nice, sunny day. So, it’s been pretty hard walking around campus in the rain,” said Vu. Stanford’s rainy season typically lasts from October to May — this year’s inaugural rainstorm has come slightly later than expected. In fact, Stanford’s yearly precipitation has been on a steady decline in recent years. On average, in the last 30 years, Stanford has seen 14 inches of rain by mid-November, while this year only 10.41 inches of rain have fallen in the area. “The rains don’t seem that major,” said Shawn Gregory ’28. Gregory added that he thinks “we need more rain” due to the perpetual drought California is currently experiencing. Lee expressed concerns about biking in the rain without bike lights. “Stanford should give [students] bike lights,” said Lee. Vu added that it would be “really cool” if Stanford gave every student an umbrella. “If there are some innovators out there who can make umbrellas for while you are biking, I think that would be very helpful,” Gregory said. The post Torrential rains batter Stanford on path through California appeared first on The Stanford Daily ."
AAUP | Three lessons the University must learn,"Opinions, Columnists, AAUP, American Association of University Professors, federal govenrment, free speech, Institutional neutrality, journalism, justice higher education, Stanford, student speech, trump administratino, university",,"Mon, 17 Nov 2025 08:54:20 +0000",https://stanforddaily.com/?p=1280001,,"In a new column from Stanford's chapter of the American Association of University Professors,  history professor Jessica Riskin offers three lessons for universities facing pressure from the federal government. The post AAUP | Three lessons the University must learn appeared first on The Stanford Daily .","The federal government is waging a war on higher education. The reason is obvious: universities are bastions of free thinking, deep thinking, critical thinking — and thinking, in all its forms, is what an authoritarian regime hates and fears the most. As soon as Trump took office, his administration began attacking the three elements of civil society that pose the greatest threat to authoritarian rule: the free press, which spreads knowledge of what’s happening in the halls of power; the justice system, which holds abusers of power to account and higher education, which teaches people to think. Surprisingly, our institutions of journalism, justice and higher education haven’t really fought back. Instead, they’ve acquiesced, paid extortionist fines and accepted intolerable restrictions. CBS agreed to submit transcripts from 60 Minutes for government vetting. The New York law firm Paul, Weiss agreed to change its diversity policies and provide $40 million in free legal work to the White House. Columbia University hired a new administrative officer who ensures compliance with government restrictions. Cornell accepted a similar settlement. Harvard dismissed the leaders of its Center for Middle Eastern Studies and eliminated its Women’s Center. At Stanford, the University closed our Office for Inclusion and Belonging, canceled a diversity-building doctoral fellowship (DARE) and announced there will be no student speakers at Commencement in an email to faculty. Universities must stop acquiescing and fight back. I’m going to talk about three things that are essential to our struggle. I. Solidarity The American Association of University Professors (AAUP), founded in 1915 to defend academic freedom, grew out of something that happened at Stanford in 1900. Jane Stanford, a founder of the University, and David Starr Jordan, the founding president, forced economics professor Edward Ross to resign after he criticized the railroad industry, the source of Stanford’s wealth. George Howard, a history professor, resigned in solidarity, beginning an exodus that grew to include 10% of the Stanford faculty. One of the academics who left was philosophy professor Arthur Lovejoy, the eventual founder of the AAUP. He and the other AAUP creators recognized that academic freedom requires collective action. The current assault on higher education takes various forms: threats to revoke accreditation for ideological reasons, the harassment and kidnapping of international students, attempts to dictate curricular content, suppression of academic programs or methodologies, draconian funding cuts and extortionist fines. Our fellow California university, the University of California Los Angeles (UCLA), is facing a $1.25 billion fine and demands for a federal ideology monitor. In the face of these attacks, institutional solidarity is a strategic necessity and a moral imperative. Solidarity begins with public statements — university presidents, boards of trustees and faculty senates should speak out when peer institutions are attacked — but that’s not enough. Professional associations must coordinate legal and advocacy resources. Accrediting bodies must refuse to become tools of political coercion. Alumni networks must mobilize. Students, faculty and staff must rally, protest, write and speak out. So far, this has largely failed to materialize. The schools facing billions of dollars in fines and funding freezes have each responded independently. The universities that received the offer of a “compact” requiring them to compromise their autonomy also responded individually. As Benjamin Franklin (may have) said, we must all hang together, or most assuredly, we shall all hang separately. II. Integrity, not Neutrality “Institutional neutrality” has become a pretext for institutional cowardice. The idea goes back to 1967, when, during a period of campus activism over the Vietnam War, the University of Chicago issued its “Report on the University’s Role in Political and Social Action. Chaired by law professor Harry Kalven Jr., the Kalven Report stated that universities should maintain “a heavy presumption against the university taking collective action or expressing opinions on the political and social issues of the day.” The report’s core principle was that “the instrument of dissent and criticism is the individual faculty member or the individual student. The university is the home and sponsor of critics; it is not itself the critic.” The point was to allow competing views to coexist within a university community. More than half a century later, in 2018, universities suddenly began officially adopting the Kalven principles. Dozens have followed, including Stanford in 2024. This recent rush to embrace “neutrality” reflects a self-protective impulse, but it’s misguided. The Kalven Report notably acknowledged that universities must speak when their “very mission and its values of free inquiry” are under threat. The current moment throws the limits of institutional neutrality into sharp relief. Every university budget is a statement of values. Each hiring decision enacts priorities. All curricular choices embody commitments. When a university claims neutrality on all political questions while investing its endowment, designing its financial aid policies or determining which academic programs to expand or eliminate, it is disingenuous. The Kalven principle has value within limits, but we’re light years beyond them. What we need now is institutional integrity. We must openly defend what we stand for: free inquiry, evidence-based reasoning, equal access to education, the protection of vulnerable community members. If we remain “neutral” while our core values are attacked, we will have nothing left to defend. III. Student speech Institutions have recently responded to student activism by banning student speeches at commencements. In April 2024, the University of Southern California (USC) canceled valedictorian Asna Tabassum’s commencement speech following criticism of social media posts in which she expressed support for Palestinian rights. In May 2025, at George Washington University, graduating senior Cecilia Culver used her commencement speech to call for divestment from Israel. The university banned her from campus. That same month, NYU withheld graduate Logan Rozos’s diploma after he delivered an unapproved speech denouncing Israel’s attacks on Gaza. And in June 2025, the Massachusetts Institute of Technology banned its senior class president, Megha Vemuri, from the graduation ceremony after she delivered a pro- Palestinian speech at an earlier event. Now, Stanford has followed, quietly informing department chairs that there will be no student speakers at Commencement. This sends a terrible message to students: though your education has taught you to think freely, deeply and critically, we don’t trust you to speak publicly. Let us act in solidarity and with integrity. Let us trust our students to speak. Let us hear them. Let us above all stand up and fight back to defend higher education. If we don’t, who will? Jessica Riskin is a professor in the history department and the co-president of Stanford’s chapter of the American Association of University Professors (AAUP). The post AAUP | Three lessons the University must learn appeared first on The Stanford Daily ."
Queer coded,"Humor, Cartoons, computer science, cs, CS103, CS106B, CS107, CS111, CS229, engineering, gay rights, haha very funny, humor, LGBTQ, satire, sexuality, STEM",,"Mon, 17 Nov 2025 08:54:20 +0000",https://stanforddaily.com/?p=1280001,,This cartoon is the (binary) bomb. The post Queer coded appeared first on The Stanford Daily .,The post Queer coded appeared first on The Stanford Daily .
Text and the City: ‘Persepolis’ by Marjane Satrapi draws girlhood in ink and defiance,"Reads, Arts & Life, Book, feminism, feminist critic, girlhood, Graphic Novel, literature, Marjane Satrapi, marji, persepolis, persepolis graphic novel, satrapi, Stanford, text and the city",,"Mon, 17 Nov 2025 08:54:20 +0000",https://stanforddaily.com/?p=1280001,,Marjane Satrapi’s memoir “Persepolis” captures the collision of girlhood with political upheaval during the Iran-Iraq war. The post Text and the City: ‘Persepolis’ by Marjane Satrapi draws girlhood in ink and defiance appeared first on The Stanford Daily .,"In “Text and the City,” Melisa Guleryuz ’27 reviews books through a lens of modern femininity. Editor’s Note: This article is a review and includes subjective thoughts, opinions and critiques. Marjane (“Marji”) Satrapi’s “Persepolis” is a graphic novel that pairs stark black-and-white art with a voice so alive, so rebellious and so uncensored that you forget you’re reading about a revolution until you feel it happening under your skin. In “Persepolis” — which, in a nod to Iran’s history, derives its title from the capital of the ancient Persian Empire — Satrapi tells the story of her childhood in Iran during the Islamic Revolution and her adolescence in Europe. She chronicles her life with the kind of clarity only a child — and then, a woman who has survived such things — can provide. Early in the book, young Satrapi announces, “I was born with religion,” a line that is humorous in its bluntness but heavy with reality. She proceeds to spend the rest of the memoir wrestling with the difficulty of having an identity handed to you before you know how to pronounce it. What stands out most in “Persepolis” is how Satrapi depicts the collision of innocence and political upheaval. One page shows Satrapi dreaming of being a prophet. The next portrays executions and bombings. Yet another illustrates her bargaining for a Michael Jackson button even though “it was strictly forbidden,” Satrapi writes. The memoir never sanitizes childhood; instead, it honors how children pick up the pieces adults break. At one point, Satrapi says, “The revolution is like a bicycle. When the wheels don’t turn, it falls.” It’s the kind of metaphor you don’t forget, because it comes from a girl who is trying desperately to understand why her world keeps collapsing. Satrapi’s feminism is loud, impulsive, contradictory and wonderfully human. Satrapi refuses to be the quiet, obedient daughter the new regime insists she become. When her school orders all girls to wear a veil, Satrapi says: “We didn’t really like to wear the veil, especially since we didn’t understand why we had to.” In her teenage years, when she buys Western clothes despite the risk, she tells us with pride that she feels “liberated,” even as Guardians of the Revolution scold her for her punk jacket. Satrapi shows how girlhood itself becomes an act of rebellion — that growing up with your own thoughts is threatening in a society where obedience is the preferred national sport. But “Persepolis” is more than a story of oppression. One of the most powerful lines in the memoir comes from Satrapi’s grandmother, who tells her, “Always keep your dignity and be true to yourself.” It’s a message that becomes the backbone of the book, as Satrapi shows how difficult — and how essential — that instruction is. Her feminism is inherited, nurtured and relentless. Even the women around her who do conform, who stay silent or wary, radiate a quiet strength. Refreshingly,  Satrapi treats them not as symbols but as people navigating impossible circumstances. The memoir is also sharply and unexpectedly funny in the way truth often is. Satrapi recounts how she and her classmates mocked their teachers, how she declared at age six that she wanted to be “the last prophet” and how she marched around pretending to lead the revolution. Humor becomes a survival skill, a way to stay human when humanity is under threat. Reviewer Rachel Moulden wrote that Satrapi’s voice “makes you laugh right before it breaks your heart.” She’s exactly correct. Then comes Satrapi’s departure from Iran for her own safety: Europe, loneliness, the confusion of being seen only as Iranian rather than as Marji. Here, the memoir shifts into a different tone. Satrapi begins to understand that freedom can be disorienting and that “sometimes you don’t know how strong you are until being strong is your only choice,” a line so striking, it is little wonder that it is often cited in reviews . Adolescent Satrapi is homesick, rebellious, depressed, self-destructive — and painfully honest about all of it. That honesty is what gives “Persepolis” its feminist core: it refuses to give us a sanitized heroine who triumphs through purity. Satrapi gives us a girl who is flawed, angry, brilliant and real. By the time Satrapi says, “I finally understood that I was nothing but a Westerner in Iran, an Iranian in the West,” the memoir becomes not just a personal story but a universal one about the longing to belong, the impossibility of fitting neatly into categories, the work of constructing an identity from fragments. “Persepolis” is not a tragedy, though it is full of heartbreak. It is not a political manifesto, though it critiques politics better than most manifestos do. It is, instead, a story about survival, the survival of humor, of girlhood, of truth, of resistance, of self. It is a reminder that becoming yourself is political in a world determined to tell you who you should be. When the book ends and Satrapi walks through the airport, leaving her country behind, the only thing she hears is her mother fainting. Satrapi closes her memoir with a haunting phrase: “It was the last time I ever saw them.” And that final panel — simple, devastating — tells you everything you need to know about the cost of freedom. In “Persepolis,” Satrapi makes her defiance clear through both the written word and art. And in doing so, she gives every reader — especially every woman — permission to do the same. The post Text and the City: ‘Persepolis’ by Marjane Satrapi draws girlhood in ink and defiance appeared first on The Stanford Daily ."
Senior Scaries: Treating dating like the job market,"The Grind, algorith, algorithm, boyfriend, Date Drop, dates, dating, graduating, job market, love, marriage pact, match, post-grad dating, relationship, relationships, Senior, senior scaries",,"Mon, 17 Nov 2025 08:54:20 +0000",https://stanforddaily.com/?p=1280001,,"As she prepares to enter the post-grad dating pool, Ye reflects on her mom's unique relationship advice and her struggle to find the right person at Stanford. The post Senior Scaries: Treating dating like the job market appeared first on The Stanford Daily .","In each installment of “Senior Scaries,” Erin Ye ’26 confronts her senior-year fears in her final three quarters at Stanford. You’ll hear about the triumphs and tribulations of tackling the Senior Bucket List and hopefully feel less alone in the never-ending soul search that comes with growing up. The last time I was on the phone with my mom, she told me that it was my own fault I didn’t have a boyfriend. “You need to start treating dating like it’s the job market: you’re not applying to positions, you’re not interviewing, you’re not even doing things that you can add to your résumé,” she said. “You just need to get out there. Think of it like getting an internship . Don’t worry about the return offer just yet!” The metaphor was likely absurd on purpose, but underneath the shock factor, my mom had a point. I can’t blame her for being tired of me complaining about a problem I haven’t meaningfully tried to solve. In high school, I was far too nerdy to date, and I’ve dated very minimally during my time at Stanford. I remember my (happily taken) freshman-year roommate telling me late one night in our room, “It happens when you least expect it!” I responded, “That’s the problem. I am always expecting it.” Fast forward to senior year, and I am still bound by the same affliction. At this point, I’ve made every excuse in the book: too busy with school, too focused on my career, not interested in anybody, yada yada yada . I’ve also had many conversations with friends that have gone along the lines of “Stanford-men-are-the-problem-we’re-perfect-as-we-are.” When you look at it like that, it’s not surprising at all that I don’t have a boyfriend. I’ve made it pretty obvious I don’t want one. And I really am happy with my life as it is. I have the best friends and family in the world, I love what I study and I have a job lined up after graduation. There’s no lack of love in my existence. I think, for me, this conversation is more about conquering an age-old insecurity and not letting a fear of rejection hold me back from good things in the future. It’s not enough to sit around waiting for a bomb to drop or to wonder why no one has left a love letter at your door or to do Date Drop and Marriage Pact and expect black-box algorithms to find your soulmate for you (especially when you don’t even have the guts to reach out to your match). At the very least, your internal wants and external actions need to align. Yes, it is scary to be graduating from college and entering the murky waters of the post-grad dating scene. Stanford was probabilistically the best place to find a good match, and it’s both awesome and horrifying to think that some of the people I know are already dating the person they’re going to marry. But just like how you don’t get hired by being envious of those who are employed, I’ll likely stay single forever if all I do is take stock of the couples around me. I wish I could have written this column about how I conquered my fears and went on 50 first dates, but that’s not happened yet. But once I develop a pick up line as good as my cover letter template, it’s game on. The post Senior Scaries: Treating dating like the job market appeared first on The Stanford Daily ."
"Stanfordle #041 (Nov. 17, 2025)","Stanfordle, Games, fun, game, games, nyt games, puzzle, puzzles, stanford wordle, stanfordle, stanfordles, word, word game, wordle, wordles, words",,"Mon, 17 Nov 2025 08:54:20 +0000",https://stanforddaily.com/?p=1280001,,"Enjoy Stanfordle, The Daily's newest addition to our Games section. The Daily produces Stanfordles on weekdays. The post Stanfordle #041 (Nov. 17, 2025) appeared first on The Stanford Daily .","Constructed by Anisha Pandey using PuzzleMe""s free wordle maker The post Stanfordle #041 (Nov. 17, 2025) appeared first on The Stanford Daily ."
"Daily Diminutive #097 (Nov. 17, 2025)","Daily Diminutive, Games, fun, game, games, puzzle, puzzles, puzzling, stanfordle, word, word game, word games, wordle, words, xword, xwords",,"Mon, 17 Nov 2025 08:54:20 +0000",https://stanforddaily.com/?p=1280001,,"Click to play today's 5x5 mini crossword. The Daily produces mini crosswords three times a week and a full-size crossword biweekly. The post Daily Diminutive #097 (Nov. 17, 2025) appeared first on The Stanford Daily .","Built by   Anushri Seshadri   with the online crossword builder from Amuse Labs Daily Diminutive #097 Download The post Daily Diminutive #097 (Nov. 17, 2025) appeared first on The Stanford Daily ."
"GSC passes conditional collaboration with OCS, defers vote on club sports and natural gas","Science & Technology, Featured, News, ASSU, club sports, club sports funding, graduate student council, graduate students, GSC, infrastructure, natural gas, OCS, Office of Community Standards, R&DE, Residential and Dining Enterprises, UGS",,"Mon, 17 Nov 2025 08:54:20 +0000",https://stanforddaily.com/?p=1280001,,"On Thursday, the GSC voted unanimously in favor of conditional collaboration with the OCS and agreed to postpone voting on bills to dissolve the club sports funding umbrella and reduce natural gas reliance on campus. The post GSC passes conditional collaboration with OCS, defers vote on club sports and natural gas appeared first on The Stanford Daily .","The Graduate Student Council (GSC) voted unanimously to confirm conditional collaboration with the Office of Community Standards (OCS) in its Thursday meeting. The council also deferred votes on bills that would reduce University natural gas use and dissolve club sports’ funding umbrella. The Joint Bill Affirming Conditional Collaboration with the Office of Community Standards (OCS) and Board on Conduct Affairs (BCA) affirms that the Undergraduate Senate (UGS) and the GSC will abstain from electing panelists to the OCS unless it enacts reforms. Among the bill’s proposed changes are increased availability of OCS office hours, more extensive student advocacy efforts, faster case investigation timelines, stricter evidentiary standards to initiate investigations and increased transparency of OCS cases. “We want to show the OCS that we appreciate their willingness to collaborate,” said Tom Liu, a sixth-year physics Ph.D. student. “At the same time, this is not an approval of the way things currently are and we expect them to make changes.” The GSC also deferred a decision on the Joint Resolution on Protecting the Stanford Community and Environment from Natural Gas, co-authored by 2024-25 UGS Treasurer Jadon Urogdy ’27 and members of Students for a Sustainable Stanford (SSS). The bill proposes a number of measures to reduce natural gas use on Stanford’s campus, such as ceasing construction of “natural gas infrastructure” on campus, replacing broken appliances with electric ones and phasing out natural gas appliances in University buildings. The GSC voted not to pass the bill when it was first brought to the council this May, requesting that representatives of Residential and Dining Enterprises (R&DE) review SSS’s requests before the bill was subjected to a vote by the UGS and GSC. In Thursday’s meeting, the GSC agreed to defer a vote on the bill until its authors edit it in accordance with R&DE’s feedback. “R&DE came to the meeting [in May], and they gave us the impression that this was the first time they were seeing these demands,” said Áron Ricardo Perez-Lopez, a fourth-year computer science Ph.D. student. “I, as a GSC officer, would expect the authors of the bill to try to consult R&DE first.” The GSC also moved to postpone its vote on the Joint Bill to Dissolve the Club Sports Funding Umbrella and Require Direct Team-Level Grant Applications for Transparency and Compliance. If passed, the bill would require club sports to submit grants directly to the UGS and GSC, rather than to the Club Sports Council. “A lot of changes that club sports has been making to how funding is allocated is not consistent with the ASSU constitution,” said GSC Chair Rory O’Dwyer, a sixth-year physics Ph.D. student. “They’re moving significant sums of money around, inconsistent with how they should be allocated.” The post GSC passes conditional collaboration with OCS, defers vote on club sports and natural gas appeared first on The Stanford Daily ."
